start;end;orbit;sector;spacecraft_boresight_elat;spacecraft_boresight_elon;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2020-07-19;2020-08-01;53;27;54;315.8;90;315.8;66;315.8;42;315.8;18;315.8;Spend first 3 months continuing on north (because we will break continuity with the ecliptic, later). Starts at same ecliptic longitude as the original pointings in primary mission.
2020-08-01;2020-08-15;54;27;54;315.8;90;315.8;66;315.8;42;315.8;18;315.8;
2020-08-15;2020-08-28;55;28;54;343.5;90;343.5;66;343.5;42;343.5;18;343.5;
2020-08-28;2020-09-11;56;28;54;343.5;90;343.5;66;343.5;42;343.5;18;343.5;
2020-09-11;2020-09-25;57;29;54;11.2;90;11.2;66;11.2;42;11.2;18;11.2;
2020-09-25;2020-10-08;58;29;54;11.2;90;11.2;66;11.2;42;11.2;18;11.2;
2020-10-08;2020-10-22;59;30;0;28.9;0;64.9;0;40.9;0;16.9;0;352.9;Then begin observing the ecliptic. Do it continuously, for the 10 orbits that it is possible. Goal: maximize sky area covered. To achieve the goal, in first sector shift backwards by ~10 degrees in longitude. In last sector, shift forwards by same ~10 degrees. Spread out evenly in longitude between those.
2020-10-22;2020-11-05;60;31;0;44.9;0;80.7;0;56.7;0;32.7;0;8.7;Advance in ecliptic longitude. Perhaps shift slightly in latitude to fill in gaps. (Could apply principle to all pointings, could ignore this in simulations).
2020-11-05;2020-11-18;61;32;0;61;0;96.6;0;72.6;0;48.6;0;24.6;
2020-11-18;2020-12-02;62;33;0;77.1;0;112.4;0;88.4;0;64.4;0;40.4;
2020-12-02;2020-12-16;63;34;0;93.2;0;128.3;0;104.3;0;80.3;0;56.3;
2020-12-16;2020-12-29;64;35;0;109.2;0;144.1;0;120.1;0;96.1;0;72.1;
2020-12-29;2021-01-12;65;36;0;125.3;0;160;0;136;0;112;0;88;
2021-01-12;2021-01-26;66;37;0;141.4;0;175.8;0;151.8;0;127.8;0;103.8;
2021-01-26;2021-02-08;67;38;0;157.4;0;191.6;0;167.6;0;143.6;0;119.6;
2021-02-08;2021-02-22;68;39;0;173.5;0;207.5;0;183.5;0;159.5;0;135.5;Last ecliptic field
2021-02-22;2021-03-08;69;40;-54;205;-90;205;-66;205;-42;205;-18;205;"Go south. (Would begin ""extended mission sector 9"")."
2021-03-08;2021-03-21;70;40;-54;205;-90;205;-66;205;-42;205;-18;205;
2021-03-21;2021-04-04;71;41;-54;232.7;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
2021-04-04;2021-04-18;72;41;-54;232.7;-90;232.7;-66;232.7;-42;232.7;-18;232.7;
2021-04-18;2021-05-01;73;42;-54;260.4;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
2021-05-01;2021-05-15;74;42;-54;260.4;-90;260.4;-66;260.4;-42;260.4;-18;260.4;
2021-05-15;2021-05-29;75;43;-54;288.1;-90;288.1;-66;288.1;-42;288.1;-18;288.1;
2021-05-29;2021-06-11;76;43;-54;288.1;-90;288.1;-66;288.1;-42;288.1;-18;288.1;
2021-06-11;2021-06-25;77;44;-54;315.8;-90;315.8;-66;315.8;-42;315.8;-18;315.8;
2021-06-25;2021-07-09;78;44;-54;315.8;-90;315.8;-66;315.8;-42;315.8;-18;315.8;
2021-07-09;2021-07-22;79;45;-54;343.5;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
2021-07-22;2021-08-05;80;45;-54;343.5;-90;343.5;-66;343.5;-42;343.5;-18;343.5;
2021-08-05;2021-08-19;81;46;-54;11.2;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
2021-08-19;2021-09-01;82;46;-54;11.2;-90;11.2;-66;11.2;-42;11.2;-18;11.2;
2021-09-01;2021-09-15;83;47;-54;38.9;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
2021-09-15;2021-09-29;84;47;-54;38.9;-90;38.9;-66;38.9;-42;38.9;-18;38.9;
2021-09-29;2021-10-12;85;48;-54;66.6;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
2021-10-12;2021-10-26;86;48;-54;66.6;-90;66.6;-66;66.6;-42;66.6;-18;66.6;
2021-10-26;2021-11-09;87;49;-54;94.3;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
2021-11-09;2021-11-22;88;49;-54;94.3;-90;94.3;-66;94.3;-42;94.3;-18;94.3;
2021-11-22;2021-12-06;89;50;-54;122;-90;122;-66;122;-42;122;-18;122;
2021-12-06;2021-12-20;90;50;-54;122;-90;122;-66;122;-42;122;-18;122;
2021-12-20;2022-01-02;91;51;-54;149.6;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
2022-01-02;2022-01-16;92;51;-54;149.6;-90;149.6;-66;149.6;-42;149.6;-18;149.6;
2022-01-16;2022-01-30;93;52;-54;177.3;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
2022-01-30;2022-02-12;94;52;-54;177.3;-90;177.3;-66;177.3;-42;177.3;-18;177.3;
2022-02-12;2022-02-26;95;53;54;205;90;205;66;205;42;205;18;205;switch to north
2022-02-26;2022-03-12;96;53;54;205;90;205;66;205;42;205;18;205;
2022-03-12;2022-03-25;97;54;54;232.7;90;232.7;66;232.7;42;232.7;18;232.7;
2022-03-25;2022-04-08;98;54;54;232.7;90;232.7;66;232.7;42;232.7;18;232.7;
2022-04-08;2022-04-22;99;55;54;260.4;90;260.4;66;260.4;42;260.4;18;260.4;
2022-04-22;2022-05-05;100;55;54;260.4;90;260.4;66;260.4;42;260.4;18;260.4;
2022-05-05;2022-05-19;101;56;54;288.1;90;288.1;66;288.1;42;288.1;18;288.1;
